top - 22:42:26 up  8:05,  1 user,  load average: 0.27, 0.46, 0.60
Tasks: 481 total, 2 running, 479 sleep, 0 d-sleep, 0 stopped, 0 zombie
%Cpu(s):  0.6 us,  2.0 sy,  3.7 ni, 93.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  43913.1 total,  13283.7 free,  11714.1 used,  19639.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  32199.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    405 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
    406 root      20   0       0      0      0 S   0.0   0.0   0:00.13 nv_queue
    407 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    408 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    409 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    410 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    411 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    412 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    413 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    414 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    415 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    416 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    417 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    418 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    419 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    420 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    421 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    422 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card2-c+
    423 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card2-c+
    424 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card2-c+
    425 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card2-c+
    426 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    427 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    428 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    429 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    430 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    431 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    432 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    433 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    434 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    435 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    436 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    437 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    449 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    450 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    451 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
